,5
XLon,-122.958333333
YLat,62.7083333333
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,0.00035342761092833994
1984-08-01,0.00035342561430740837
1984-09-01,0.0003534240923737821
1984-10-01,0.0003534254020026703
1984-11-01,0.0003533926155818494
1984-12-01,0.0003529665682945116
1985-01-01,0.0003571864538033577
1985-02-01,0.0003573249514191254
1985-03-01,0.0003576345801263763
1985-04-01,0.00035761231300128894
1985-05-01,0.00034883522582152335
1985-06-01,0.000348822552921146
1985-07-01,0.00034878712631530997
1985-08-01,0.00034877009779219707
1985-09-01,0.0003487649838660264
1985-10-01,0.0003487537094722165
1985-11-01,0.0003486650104722393
1985-12-01,0.000366333011558151
1986-01-01,0.000320011552718921
1986-02-01,0.0003203347525164267
1986-03-01,0.0003230250057235569
1986-04-01,0.0003458698505048957
1986-05-01,0.00039593213638788264
1986-06-01,0.0003959382647541914
1986-07-01,0.00039590054527382227
1986-08-01,0.0003958803681955738
1986-09-01,0.0003958579644574282
1986-10-01,0.00039584688071737445
1986-11-01,0.00039574989088990865
1986-12-01,0.0004042706681809822
1987-01-01,0.00039310526305573647
1987-02-01,0.0003931327449692588
1987-03-01,0.0003788739213506816
1987-04-01,0.00038443550577583465
1987-05-01,0.00032875330649005446
1987-06-01,0.0003288116310844206
1987-07-01,0.0003288404208196483
1987-08-01,0.0003288517612204406
1987-09-01,0.0003288584202073018
1987-10-01,0.0003288999208006796
1987-11-01,0.0003270236505496285
1987-12-01,0.000327025490754984
1988-01-01,0.0003322080824611764
1988-02-01,0.0003244729209055575
1988-03-01,0.00032436069530582045
1988-04-01,0.00032359161432101254
1988-05-01,0.00019723251799372776
1988-06-01,0.00019723988149560615
1988-07-01,0.00019725913019845648
1988-08-01,0.00019728432990768287
1988-09-01,0.00019731499162578593
1988-10-01,0.0001973851980735614
1988-11-01,0.0001974270114204416
1988-12-01,0.00019519092288233474
1989-01-01,0.00019163389054198336
1989-02-01,0.00018926266320636566
1989-03-01,0.00019897155160112306
1989-04-01,0.00019876392390610797
1989-05-01,0.00022664439129398064
1989-06-01,0.00022676271433425048
1989-07-01,0.00022687706731661623
1989-08-01,0.00022698813415184514
1989-09-01,0.0002271034338545388
1989-10-01,0.00022708231380743935
1989-11-01,0.0002269730607623358
1989-12-01,0.0002325967633139623
1990-01-01,0.0002843586877469834
1990-02-01,0.0002841323638292401
1990-03-01,0.000284101413052911
1990-04-01,0.0003161774981837235
1990-05-01,0.00044582708130140304
1990-06-01,0.00044582601808585635
1990-07-01,0.00044582771985247774
1990-08-01,0.0004458318216303862
1990-09-01,0.0004458380732820096
1990-10-01,0.0004458178406486201
1990-11-01,0.00044562563032672355
1990-12-01,0.00044304420986346463
1991-01-01,0.00047466523267855707
1991-02-01,0.0004754289350974702
1991-03-01,0.00046779278482525684
1991-04-01,0.00044109539553828297
1991-05-01,0.00036436167171595483
1991-06-01,0.0003643852341433004
1991-07-01,0.0003644145790981109
1991-08-01,0.00036443556397440285
1991-09-01,0.00036445301596075565
1991-10-01,0.00036446276777724496
1991-11-01,0.00036442719890460005
1991-12-01,0.0003548492801748401
1992-01-01,0.00034733740363122417
1992-02-01,0.0003474029525172542
1992-03-01,0.00034960382534718424
1992-04-01,0.00037325977552775993
1992-05-01,0.0006024652042151335
1992-06-01,0.0006024650030257816
1992-07-01,0.0006024649272467816
1992-08-01,0.0006024667040816506
1992-09-01,0.0006024666764708441
1992-10-01,0.0006024991515522822
1992-11-01,0.0006014573519503797
1992-12-01,0.000641055979805177
1993-01-01,0.0006357531703969006
1993-02-01,0.0006355604872861448
1993-03-01,0.0006355565909864264
1993-04-01,0.0006354623501944145
1993-05-01,0.0006547320595640346
1993-06-01,0.0006547636436680715
1993-07-01,0.0006547837658290659
1993-08-01,0.000654806050167959
1993-09-01,0.0006548345253815899
1993-10-01,0.0006548259681813944
1993-11-01,0.000662049934792423
1993-12-01,0.0006645590257792969
1994-01-01,0.0006715450749793958
1994-02-01,0.0006616511465366598
1994-03-01,0.0006489902813670553
1994-04-01,0.0006490950630669228
1994-05-01,0.0006139950635158833
1994-06-01,0.0006140583001123263
1994-07-01,0.0006140627132650803
1994-08-01,0.0006140243612472113
1994-09-01,0.0006139596464584921
1994-10-01,0.0006138472167521279
1994-11-01,0.0006136404494288469
1994-12-01,0.0006108076177207262
1995-01-01,0.0005630172585725427
1995-02-01,0.0005630253883966272
1995-03-01,0.0005638142693204944
1995-04-01,0.0005361670402487607
1995-05-01,0.0005448331318933644
1995-06-01,0.0005449824527150154
1995-07-01,0.0005450132183433565
1995-08-01,0.0005452604760172394
1995-09-01,0.000545267505506486
1995-10-01,0.0005452286753168278
1995-11-01,0.0005452482099169406
1995-12-01,0.0005388490434580581
1996-01-01,0.0005014163445779323
1996-02-01,0.0004985585627558755
1996-03-01,0.0004989888589775371
1996-04-01,0.0005449039623070428
1996-05-01,0.0005608408560297898
1996-06-01,0.000560851116972055
1996-07-01,0.0005609282837634552
1996-08-01,0.0005611484518441932
1996-09-01,0.0005611348437418919
1996-10-01,0.0005621929910056101
1996-11-01,0.0005618207753658685
1996-12-01,0.0006013198822190769
1997-01-01,0.0006219060273545905
1997-02-01,0.000622019022648653
1997-03-01,0.0006209971990155645
1997-04-01,0.0005942586422036186
1997-05-01,0.0003518213125513245
1997-06-01,0.00035182230070752193
1997-07-01,0.00035186033588018793
1997-08-01,0.000351822677774999
1997-09-01,0.00035183416656012483
1997-10-01,0.0003518591868704429
1997-11-01,0.0003517519648568542
1997-12-01,0.0003084281246378231
1998-01-01,0.00030847414768361045
1998-02-01,0.00030860089844308395
1998-03-01,0.000309027207589844
1998-04-01,0.00030910287243789
1998-05-01,0.0003153390842901825
1998-06-01,0.0003152745707000447
1998-07-01,0.00031523024563888337
1998-08-01,0.0003151784152342845
1998-09-01,0.0003151313405905043
1998-10-01,0.0003151390313178007
1998-11-01,0.0003082809795882459
1998-12-01,0.000304490652028343
1999-01-01,0.00029661272190847427
1999-02-01,0.00030150669054854065
1999-03-01,0.0003008443276847272
1999-04-01,0.0003008186915806799
1999-05-01,0.000314803724595759
1999-06-01,0.00031479339670582976
1999-07-01,0.0003148154377903629
1999-08-01,0.00031482701103281295
1999-09-01,0.00031535494755815743
1999-10-01,0.0003153623849839997
1999-11-01,0.00035566380963005266
1999-12-01,0.0003732192668986543
2000-01-01,0.00038464643149466963
2000-02-01,0.0003925155829105082
2000-03-01,0.0003921223821542722
2000-04-01,0.0003919843763830128
2000-05-01,0.00024968351605857207
2000-06-01,0.00024972855676906543
2000-07-01,0.0002497472531743954
2000-08-01,0.00025677756246597237
2000-09-01,0.0002575780952285138
2000-10-01,0.00025760495961212537
2000-11-01,0.00025761917809023993
2000-12-01,0.00024300154722632487
2001-01-01,0.00024916683176786264
2001-02-01,0.00024819463235526085
2001-03-01,0.00024823185665272664
2001-04-01,0.00020478808324380228
2001-05-01,0.0001920165911511376
2001-06-01,0.00020357252724117626
2001-07-01,0.00020363331523417
2001-08-01,0.00020274235311591875
2001-09-01,0.00020284043157576794
2001-10-01,0.00020266377725766972
2001-11-01,0.00028303608971196574
