features,shap_impt
PF,0.000898324
SLA,0.0011603002
TMP_mean,0.0012299668
Sand,0.0013259323
RD,0.0013684192
TMP_cv,0.0014591543
Clay,0.0015485946
LST_mean,0.0015590487
WTD,0.0016546884
OCD,0.0016772875
TN,0.0017224608
Tmin_cv,0.0017229936
SLP,0.0017765178
CH,0.0017788233
Tmin_mean,0.0018845161
IF,0.0019141409
RF,0.0019345664
Tmax_mean,0.0019584706
PRE_cv,0.001996903
NSR,0.002009902
sen_Tmax,0.0020148065
sen_ET,0.0020426624
ET_mean,0.0020648346
AWC,0.0021115926
sen_VPD,0.0021135109
SOL_cv,0.0021401292
PH,0.0021835552
LST_cv,0.0022150178
SM_mean,0.0022355816
ASP,0.0022920037
FA,0.002310862
FG,0.0023108986
sen_PDSI,0.002331078
SD,0.002382428
LPC,0.002423535
ELEV,0.0024335498
sen_LST,0.0024451015
sen_SOL,0.0024705783
FC,0.002497692
sen_PRE,0.002536178
CEC,0.0025746925
SOC,0.0026529813
LNC,0.0028205847
sen_SM,0.0029641832
SOL_mean,0.003022478
sen_TMP,0.0031687163
PDSI_cv,0.003169103
TD,0.0032978912
Tmax_cv,0.0033674587
PRE_mean,0.003648356
BDOD,0.0036747043
LDMC,0.0037043556
PDSI_mean,0.0038157543
VPD_cv,0.0038533688
sen_Tmin,0.0039057566
ET_cv,0.00396934
SM_cv,0.00433749
VPD_mean,0.007703299
Fire,0.021471042
FL,0.029922687
TAC_mean,0.07590084
